         time;          counts;events
201.409756908;         1702879;dTLB-loads-misses                                           
201.409756908;            9226;page-faults                                                 
202.415055705;        55745689;cache-misses                                                
202.415055705;         3414891;dTLB-loads-misses                                           
202.415055705;           15469;page-faults                                                 
203.415661170;        18010590;cache-misses                                                
203.415661170;         1743618;dTLB-loads-misses                                           
203.415661170;           11142;page-faults                                                 
204.416234694;         7512143;cache-misses                                                
204.416234694;         1344535;dTLB-loads-misses                                           
204.416234694;            3010;page-faults                                                 
205.417616641;         9576145;cache-misses                                                
205.417616641;         1390216;dTLB-loads-misses                                           
205.417616641;            9469;page-faults                                                 
206.419078178;         7401236;cache-misses                                                
206.419078178;         1301373;dTLB-loads-misses                                           
206.419078178;            2866;page-faults                                                 
207.419665430;         8871249;cache-misses                                                
207.419665430;         1413492;dTLB-loads-misses                                           
207.419665430;            5768;page-faults                                                 
208.421146203;        14848190;cache-misses                                                
208.421146203;         1515636;dTLB-loads-misses                                           
208.421146203;           10968;page-faults                                                 
209.422605589;        13098144;cache-misses                                                
209.422605589;         1886810;dTLB-loads-misses                                           
209.422605589;            3262;page-faults                                                 
210.423665488;        31466886;cache-misses                                                
210.423665488;         2603808;dTLB-loads-misses                                           
210.423665488;           21189;page-faults                                                 
211.425189741;        14371123;cache-misses                                                
211.425189741;         2061984;dTLB-loads-misses                                           
211.425189741;           11047;page-faults                                                 
212.426707764;        14230611;cache-misses                                                
212.426707764;         2010700;dTLB-loads-misses                                           
212.426707764;            3973;page-faults                                                 
213.427714340;        17004888;cache-misses                                                
213.427714340;         1755383;dTLB-loads-misses                                           
213.427714340;            7453;page-faults                                                 
214.429129298;         5224533;cache-misses                                                
